file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1,score2,time_stamp2
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_200200.wav,1060,2015,4a,2015-02-24 20:02:00,1.0,950.1600840208392,25.0,425.006265533765,25.0,417.24100539825054,25.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_000100.wav,1059,2015,4a,2015-02-24 00:01:00,1.0,859.6833190665182,286.0,450.058427400107,296.0,409.0176301635949,49.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150225_000200.wav,1062,2015,4a,2015-02-25 00:02:00,1.0,684.7203893991044,254.0,271.53640034869255,281.5,293.3396451678921,281.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_194500.wav,4602,2015,5a,2015-02-03 19:45:00,1.0,643.8853476356352,123.0,608.736955297512,52.5,553.3921949735712,86.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_230100.wav,1061,2015,4a,2015-02-23 23:01:00,1.0,618.6998988857825,110.0,532.468296666521,214.0,594.9415596101886,214.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_194700.wav,4603,2015,5a,2015-02-05 19:47:00,0.0,502.4640078158856,181.0,532.3044363104592,215.0,478.69069331592783,215.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150202_184400.wav,1414,2015,2a,2015-02-02 18:44:00,1.0,467.694797167456,214.0,359.7384505209178,246.0,278.45365054465765,246.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_220100.wav,1063,2015,4a,2015-02-23 22:01:00,1.0,390.4698738360132,81.0,363.42090005732535,173.0,369.7800569953957,272.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_214700.wav,4606,2015,5a,2015-02-05 21:47:00,0.0,368.12155451523955,10.0,320.5887038271928,32.5,321.79534358202704,32.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_191000.wav,4605,2015,5a,2015-03-06 19:10:00,1.0,346.91902333254865,213.0,407.7182743530986,295.5,511.57134162955106,295.5
