,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140424_234200.wav,125.0849089304842,2014,4a,275.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140320_221900.wav,121.73056203342661,2014,6a,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140505_004900.wav,119.25842134138658,2014,5a,226.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140423_004100.wav,118.13974727877897,2014,4a,14.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140614_211300.wav,115.18688430469133,2014,4a,92.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-17-14/20140321_001900.wav,113.29113932503473,2014,4a,127.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140409_213200.wav,111.27727609358162,2014,4a,233.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140423_224200.wav,109.94918738047807,2014,4a,66.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140515_235700.wav,106.72315475460968,2014,6a,30.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140422_004000.wav,106.5195728137293,2014,4a,281.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140612_201200.wav,106.39471207742703,2014,4a,128.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140615_211300.wav,103.75328092068776,2014,4a,106.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140615_221300.wav,100.2711766557078,2014,4a,159.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140613_201300.wav,99.80732827128621,2014,4a,131.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-17-14/20140320_231900.wav,98.12925207710569,2014,4a,193.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140313_221500.wav,96.52549718582218,2014,6a,213.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140502_204800.wav,96.27555082354654,2014,5a,115.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140506_005000.wav,95.37710658865439,2014,5a,40.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140504_204900.wav,94.72642376073564,2014,4a,58.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140615_231300.wav,94.21858036883333,2014,4a,221.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140612_231200.wav,93.58803461042929,2014,4a,223.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140508_215200.wav,93.3919087629546,2014,4a,162.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140505_225000.wav,93.31756425984605,2014,5a,73.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140326_222300.wav,92.9981357751185,2014,4a,214.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140319_001800.wav,91.9196798266767,2014,5a,227.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140505_215000.wav,91.6994030923848,2014,5a,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140511_205400.wav,90.56818936117334,2014,4a,298.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140425_004200.wav,90.40069026469652,2014,4a,18.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140403_192800.wav,89.64923748828969,2014,4a,37.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140414_223600.wav,89.25338682284844,2014,4a,187.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140603_220800.wav,88.99084407559303,2014,5a,121.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140320_211900.wav,88.1158207415897,2014,6a,142.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140313_191500.wav,88.00579100776127,2014,5a,294.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140423_234200.wav,87.10196898086467,2014,4a,96.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/7-24-14/20140725_200800.wav,86.26239762558045,2014,4a,177.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140424_214200.wav,86.21131509233045,2014,4a,212.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140318_201800.wav,85.40206938883374,2014,5a,249.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140516_235700.wav,84.93106764934625,2014,6a,288.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140515_225700.wav,84.35054802153445,2014,6a,13.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140417_223800.wav,82.91892821573835,2014,4a,13.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140409_223200.wav,82.67320386661673,2014,4a,114.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140505_195000.wav,82.53155738500996,2014,4a,53.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140502_194800.wav,82.18119102099266,2014,4a,8.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-17-14/20140319_231900.wav,80.31735438305604,2014,4a,165.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-2-14/20140603_220800.wav,80.24586669693018,2014,4a,1.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140510_005300.wav,79.69055363480454,2014,4a,91.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140414_193600.wav,79.59629699802441,2014,4a,161.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140612_211200.wav,79.52560707827519,2014,4a,198.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140331_222700.wav,78.92080520566297,2014,4a,145.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-17-14/20140320_211900.wav,78.14411297635323,2014,4a,8.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140503_004800.wav,77.98886788812742,2014,4a,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140510_215300.wav,77.79928957838351,2014,4a,56.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140409_193200.wav,76.65571037259777,2014,4a,126.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140409_233200.wav,76.0510452156704,2014,4a,9.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140410_003200.wav,75.89554383102664,2014,4a,83.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140517_195800.wav,75.44705756265287,2014,4a,22.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140310_211300.wav,75.21048669343985,2014,5a,263.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140516_225700.wav,75.06411108747326,2014,6a,163.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140505_004900.wav,74.54413955281747,2014,4a,51.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140604_210900.wav,74.35796489421064,2014,6a,225.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140605_220900.wav,74.31300138185117,2014,6a,223.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140603_200800.wav,73.97519629598801,2014,5a,127.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140415_233600.wav,73.96670805855477,2014,6a,173.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140518_225900.wav,73.67457645022331,2014,4a,246.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140614_221300.wav,73.26853378791036,2014,4a,75.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140510_195300.wav,73.10249170936521,2014,4a,140.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140327_202400.wav,72.93243216588053,2014,6a,255.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140517_235800.wav,72.71962103271376,2014,6a,19.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140515_195700.wav,72.44926571670663,2014,4a,203.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140517_205800.wav,72.34305277278676,2014,6a,89.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140324_202200.wav,72.14565894847942,2014,4a,95.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140331_212700.wav,71.7268323338093,2014,4a,99.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140402_002700.wav,71.69002606830296,2014,4a,173.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140503_194800.wav,71.66042065109193,2014,4a,45.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140512_005400.wav,71.65083033276917,2014,4a,86.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-7-14/20140410_003200.wav,71.64354022018847,2014,6a,283.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-7-14/20140408_223200.wav,71.62651307811805,2014,6a,120.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140416_213700.wav,71.54952251837345,2014,4a,169.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140313_211500.wav,70.7804947979743,2014,6a,37.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140327_222400.wav,70.59495190027606,2014,4a,281.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-7-14/20140409_003200.wav,70.54089088457333,2014,6a,74.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140324_192200.wav,70.44936260051078,2014,6a,48.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140326_192300.wav,70.01794799575016,2014,6a,36.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140416_223700.wav,69.83323805412094,2014,4a,221.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140509_215300.wav,69.55965706613176,2014,4a,148.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-7-14/20140408_003100.wav,69.15584287356614,2014,6a,155.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140602_200800.wav,68.34377791044817,2014,6a,140.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140603_210800.wav,68.00736892222007,2014,5a,36.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140508_225200.wav,67.99458345481337,2014,4a,256.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140401_222700.wav,67.80762042750162,2014,4a,251.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140331_192700.wav,67.7336763730494,2014,4a,8.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140325_202300.wav,67.40495855357494,2014,6a,219.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140509_225300.wav,67.02964010767792,2014,4a,115.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140517_005700.wav,66.82611048154757,2014,6a,169.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140518_005800.wav,66.47760482687185,2014,6a,105.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140613_211300.wav,66.44717837903448,2014,4a,5.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140503_234800.wav,66.29304012024747,2014,4a,59.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140421_234000.wav,66.08143054754008,2014,4a,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140311_191300.wav,65.44411546592252,2014,5a,193.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140331_232700.wav,65.4015498195439,2014,4a,159.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140424_224200.wav,65.2557178845964,2014,4a,272.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140612_221200.wav,65.11498821854795,2014,4a,29.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140511_225400.wav,64.58266705159542,2014,4a,272.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140508_195200.wav,64.45452508872887,2014,4a,294.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140511_235400.wav,64.0510561866955,2014,4a,249.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140604_220900.wav,64.0352450261383,2014,5a,96.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140423_194200.wav,63.965286487499064,2014,4a,105.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140401_202700.wav,63.922252565473975,2014,4a,86.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140402_192800.wav,63.88703524269435,2014,4a,2.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140415_003600.wav,63.83802519983124,2014,5a,264.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140324_222200.wav,63.81409899679464,2014,4a,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140504_194900.wav,63.59600928994409,2014,4a,120.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140604_230900.wav,63.5888217108213,2014,5a,191.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140318_231800.wav,63.56421922910802,2014,5a,199.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140325_192300.wav,62.99866930121307,2014,5a,280.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140318_211800.wav,62.902415739345024,2014,5a,251.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140509_205300.wav,62.85821009291058,2014,4a,4.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140509_235300.wav,62.818998507738804,2014,4a,187.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140515_195700.wav,62.70411991987855,2014,6a,222.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140417_213800.wav,62.61987234688197,2014,6a,289.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140518_195900.wav,62.586198333335695,2014,6a,256.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140414_203600.wav,62.36610680378583,2014,5a,277.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140505_205000.wav,62.1046834363495,2014,4a,278.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140605_210900.wav,62.097176762526814,2014,6a,5.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140504_214900.wav,62.09324859348388,2014,4a,220.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140613_221300.wav,62.08819120146766,2014,4a,126.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140401_192700.wav,62.042242217929655,2014,4a,231.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140508_205200.wav,61.89008178925274,2014,4a,224.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140326_192300.wav,61.81388257118217,2014,4a,167.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140326_232300.wav,61.74551598109216,2014,4a,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140511_215400.wav,61.61352426362058,2014,4a,96.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140424_204200.wav,61.45861822756052,2014,4a,52.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140326_202300.wav,61.28878652011022,2014,4a,143.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140511_195400.wav,61.09039651486265,2014,4a,104.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140325_192300.wav,60.97856647577441,2014,6a,182.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/7-7-14/20140707_211500.wav,60.7996159499325,2014,5a,269.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/7-7-14/20140709_001500.wav,60.572135962330094,2014,5a,61.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140327_212400.wav,60.282119060345856,2014,4a,137.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140331_202700.wav,60.18622921071043,2014,4a,231.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140423_204200.wav,60.14093731482096,2014,4a,158.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140313_201500.wav,59.81873834609207,2014,5a,125.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140417_213800.wav,59.79302055081044,2014,4a,179.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140416_233700.wav,59.60705519111536,2014,4a,152.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140423_214200.wav,59.54505873308944,2014,4a,89.0
