,score,label,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210225_223100.wav,106.56543690054029,,268.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210215_172300.wav,97.37419117243434,,119.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210306_173800.wav,95.79821389169167,,16.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210218_232600.wav,90.87420189001237,,72.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210301_233500.wav,87.41481939868187,,244.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210224_003000.wav,85.79007621090766,,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210210_021800.wav,83.19352442273664,,134.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210317_234700.wav,82.9674344098226,,189.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210301_183500.wav,81.05386488362723,,276.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210301_003400.wav,77.13046456901125,,86.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210225_233100.wav,75.4834432644619,,201.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210317_024600.wav,74.50644552195645,,103.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210304_213700.wav,74.1711833446563,,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210220_172700.wav,70.84172460804022,,128.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210226_013100.wav,70.21471272624984,,141.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210218_212600.wav,69.95737699486357,,96.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210214_182200.wav,69.94351960094417,,134.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210310_224100.wav,69.32088809524623,,54.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210315_234500.wav,69.01583600025495,,196.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210225_213100.wav,68.73654420591463,,287.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210303_193600.wav,68.35640047604775,,299.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210304_023600.wav,67.29317443714024,,259.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210303_183600.wav,66.95953332735185,,42.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210219_012600.wav,66.48837736433312,,255.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210211_221900.wav,66.24960543600767,,245.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210227_213300.wav,64.86618593667801,,172.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210316_024500.wav,64.43644383997314,,214.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210303_213600.wav,64.17436551633403,,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210313_024300.wav,63.73258029784078,,266.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210127_020500.wav,63.57863875703931,,96.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210218_222600.wav,62.71635366985972,,120.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210131_210900.wav,62.6373553167998,,10.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210206_231500.wav,62.54593246977918,,281.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210227_193300.wav,62.52702769896179,,83.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210306_003800.wav,62.45671130031063,,184.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210316_004500.wav,62.09143536187518,,138.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210303_013500.wav,61.69705346517702,,240.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210129_220700.wav,61.105477650521365,,83.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210306_193800.wav,60.824220345586575,,98.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210317_194700.wav,60.60221759840696,,22.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210305_213800.wav,59.970851596649396,,273.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210226_233200.wav,59.95995536250679,,60.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210206_211500.wav,59.81015214004962,,100.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210304_173700.wav,59.775584596934664,,100.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/FLSHE_2021/FLSHE_2021_403/TEST_20210305_233800.wav,59.755524691195596,,290.5
