,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150204_224600.wav,50.593137325305214,2015,1a,214.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150204_234600.wav,26.896911383540683,2015,1a,270.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_004600.wav,20.185029545025042,2015,1a,230.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_184700.wav,49.2248518110526,2015,1a,0.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_194700.wav,40.32579826125234,2015,1a,163.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_204700.wav,35.73022534337653,2015,1a,168.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_214700.wav,60.19337044732186,2015,1a,90.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_224700.wav,57.93768555318797,2015,1a,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_234700.wav,10.788777764742536,2015,1a,32.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150206_004700.wav,40.89968109458067,2015,1a,71.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_190100.wav,40.607158795345214,2015,1a,82.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_200100.wav,58.49725167847112,2015,1a,22.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_210100.wav,77.8451808501663,2015,1a,177.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_220100.wav,70.14326893674811,2015,1a,175.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_230100.wav,108.07901349339865,2015,1a,85.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_000100.wav,88.6284739994482,2015,1a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_190200.wav,58.004471595492895,2015,1a,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_200200.wav,55.78023231833564,2015,1a,30.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_210200.wav,74.36318368009303,2015,1a,198.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_220200.wav,91.38434296711652,2015,1a,294.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_230200.wav,84.51004915185221,2015,1a,95.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_000200.wav,69.59633520027516,2015,1a,215.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_190300.wav,44.45788027512791,2015,1a,299.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_200300.wav,39.47764653998662,2015,1a,27.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_210300.wav,81.29493790628581,2015,1a,269.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_220300.wav,43.31099776553671,2015,1a,245.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_230300.wav,53.559500468947526,2015,1a,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_000300.wav,40.96551463717693,2015,1a,256.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_190400.wav,66.75252830894372,2015,1a,142.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_200400.wav,33.34241776405255,2015,1a,165.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_210400.wav,58.55946716781869,2015,1a,24.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_220400.wav,75.50730250468992,2015,1a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_230400.wav,48.07124386739859,2015,1a,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150227_000400.wav,44.407448053308514,2015,1a,248.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150314_191500.wav,38.72744074552613,2015,1a,101.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150314_201500.wav,19.1549231296872,2015,1a,279.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150314_211500.wav,63.168200717422934,2015,1a,242.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150314_221500.wav,43.266285547788165,2015,1a,79.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150314_231500.wav,47.750719574354065,2015,1a,296.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_001500.wav,90.97031345597635,2015,1a,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_191600.wav,25.495002337055734,2015,1a,238.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_201600.wav,41.9630832692523,2015,1a,106.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_211600.wav,20.245892082092755,2015,1a,241.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_221600.wav,47.41945971204678,2015,1a,201.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_231600.wav,22.491836125998823,2015,1a,36.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_001600.wav,37.66387800279883,2015,1a,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_191600.wav,39.45404809620541,2015,1a,112.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_201600.wav,31.08380085618169,2015,1a,97.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_211600.wav,60.05446096978258,2015,1a,3.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_221600.wav,62.54550550835706,2015,1a,243.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_231600.wav,19.07729344376337,2015,1a,275.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150317_001600.wav,26.185491548660107,2015,1a,91.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150319_191900.wav,10.352229518022078,2015,1a,244.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150319_201900.wav,31.759865524840556,2015,1a,164.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150319_211900.wav,17.799443773207056,2015,1a,281.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150319_221900.wav,26.664719638498728,2015,1a,256.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150319_231900.wav,15.644988562962874,2015,1a,229.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150320_001900.wav,55.0217264092369,2015,1a,262.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150320_191900.wav,23.185932479869383,2015,1a,152.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-19-15/20150320_201900.wav,44.60546701937618,2015,1a,37.5
