file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1,score2,time_stamp2
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150225_190300.wav,2592,2015,10a,2015-02-25 19:03:00,0.0,47.81034694632262,46.0,46.18463070231436,143.5,47.98007985653246,120.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150509_235200.wav,2593,2015,10a,2015-05-09 23:52:00,0.0,41.3557392415136,166.5,47.428098068744916,31.5,33.952386955954665,99.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150405_203000.wav,2595,2015,10a,2015-04-05 20:30:00,0.0,56.423628582760465,62.0,53.2071769406466,34.5,52.70881323069667,62.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150411_233400.wav,2596,2015,10a,2015-04-11 23:34:00,0.0,54.98019652721138,85.5,43.057945092946525,85.5,42.6594413534669,29.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150307_191000.wav,2597,2015,10a,2015-03-07 19:10:00,0.0,52.152318723056965,205.0,71.92337960966883,23.5,53.324560828224385,222.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150308_221100.wav,2598,2015,10a,2015-03-08 22:11:00,0.0,66.03274710317255,131.5,70.01035276242166,252.0,75.73047312328264,186.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150305_200900.wav,2599,2015,10a,2015-03-05 20:09:00,0.0,59.709779608938355,134.0,52.22199851988468,147.0,68.04502795057219,62.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150322_222000.wav,2600,2015,10a,2015-03-22 22:20:00,0.0,44.54547400757493,56.0,47.83155270021411,104.5,46.29972173188247,56.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150416_193700.wav,2601,2015,10a,2015-04-16 19:37:00,0.0,60.50551997218176,9.0,57.19005774599853,41.0,49.16244293871661,9.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150419_223900.wav,2602,2015,10a,2015-04-19 22:39:00,0.0,47.27092997003585,232.0,50.031261757267025,232.0,47.99824282289161,232.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150418_223800.wav,2603,2015,10a,2015-04-18 22:38:00,0.0,48.92891983597682,207.0,45.60326702179349,258.0,43.34302192153232,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150510_205300.wav,2605,2015,10a,2015-05-10 20:53:00,0.0,38.9659956284501,238.5,48.10108463744255,219.5,38.584820701879494,267.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150218_195700.wav,2607,2015,10a,2015-02-18 19:57:00,0.0,44.703724984288286,7.0,50.45290887649064,7.0,39.82597563549017,7.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150509_205200.wav,2608,2015,10a,2015-05-09 20:52:00,0.0,37.93902545037551,239.0,54.024648747729934,9.0,41.508011833365984,239.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150225_230300.wav,2609,2015,10a,2015-02-25 23:03:00,0.0,51.196274197166964,205.5,52.07811822564686,174.0,51.04177219432484,205.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150307_201000.wav,2611,2015,10a,2015-03-07 20:10:00,0.0,41.0481588984435,15.0,56.01896541331764,32.0,44.6483373720063,15.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150202_194400.wav,2613,2015,10a,2015-02-02 19:44:00,0.0,78.0241226970373,205.0,60.69946893643883,191.0,83.02194697574525,196.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150410_213300.wav,2614,2015,10a,2015-04-10 21:33:00,0.0,48.41128479369866,173.5,55.209053801024126,115.0,49.93589077070267,103.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150314_211500.wav,2615,2015,10a,2015-03-14 21:15:00,0.0,64.31466658412339,161.5,56.30955215216251,161.5,60.7172154175613,161.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150404_232900.wav,2616,2015,10a,2015-04-04 23:29:00,0.0,38.6241435588585,10.5,47.02554814119037,68.0,37.29824866016105,68.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150205_214700.wav,2617,2015,10a,2015-02-05 21:47:00,0.0,123.31782691746643,104.5,63.136407268671164,285.5,117.91058945187346,104.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150217_195700.wav,2619,2015,10a,2015-02-17 19:57:00,0.0,42.21380064894628,139.5,51.90659823120823,32.5,38.16219719704919,139.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150314_221500.wav,2620,2015,10a,2015-03-14 22:15:00,0.0,46.389521489561865,144.5,45.22328592270994,283.5,47.08926552129041,144.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150312_231400.wav,2621,2015,10a,2015-03-12 23:14:00,0.0,57.3178829103382,268.0,43.89348380334181,298.5,67.98176783424748,265.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150320_221800.wav,2622,2015,10a,2015-03-20 22:18:00,0.0,41.33717448165173,4.5,50.331005131926744,232.5,40.71704536066089,117.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150219_215800.wav,2623,2015,10a,2015-02-19 21:58:00,0.0,37.819461662825454,54.0,42.34998458010181,273.0,35.511858686382325,273.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150217_205700.wav,2624,2015,10a,2015-02-17 20:57:00,0.0,45.3805777740522,173.0,54.189721650897454,41.5,44.544950151280645,173.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150217_185700.wav,2626,2015,10a,2015-02-17 18:57:00,0.0,47.96741551572247,17.0,41.84755405288706,17.0,43.63311038220705,84.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150412_213400.wav,2630,2015,10a,2015-04-12 21:34:00,0.0,45.73595766941581,276.0,53.757848911972,83.0,47.16932703591689,83.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150203_184500.wav,2631,2015,10a,2015-02-03 18:45:00,0.0,59.64988803161074,40.5,56.36143175169727,264.5,83.67611157306247,273.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150217_005600.wav,2632,2015,10a,2015-02-17 00:56:00,0.0,46.81707240877293,76.5,42.943680742069105,139.5,39.60573264346949,76.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150312_201400.wav,2635,2015,10a,2015-03-12 20:14:00,0.0,47.50894754807199,261.0,53.848843633589674,251.0,44.657585528125416,251.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150410_203300.wav,2637,2015,10a,2015-04-10 20:33:00,0.0,58.68609315707642,180.0,57.52157225037379,100.0,56.215278051293716,14.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150403_222800.wav,2639,2015,10a,2015-04-03 22:28:00,0.0,47.10620914011709,158.0,46.246987467618574,158.0,46.98827149184825,158.0
