file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1,score2,time_stamp2
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150430_204600.wav,1560,2015,2a,2015-04-30 20:46:00,0.0,32.156336842812216,140.0,32.156336842812216,140.0,32.156336842812216,140.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150412_233400.wav,1561,2015,2a,2015-04-12 23:34:00,0.0,61.411593445373505,142.0,59.457052938652005,266.0,37.55625253863761,12.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150510_005200.wav,1562,2015,2a,2015-05-10 00:52:00,0.0,41.879868714923454,198.5,41.879868714923454,198.5,41.879868714923454,198.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150305_210900.wav,1564,2015,2a,2015-03-05 21:09:00,0.0,61.30511991335568,291.5,57.953847994682185,116.5,35.10043569213983,116.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150509_215200.wav,1565,2015,2a,2015-05-09 21:52:00,0.0,31.443653881455862,109.0,31.443653881455862,109.0,31.443653881455862,109.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150223_220100.wav,1566,2015,2a,2015-02-23 22:01:00,0.0,35.625047074698536,65.5,35.625047074698536,65.5,35.625047074698536,65.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150405_223000.wav,1567,2015,2a,2015-04-05 22:30:00,0.0,37.67721806519942,105.0,37.269603709278556,105.0,31.929199517649913,37.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150404_232900.wav,1568,2015,2a,2015-04-04 23:29:00,0.0,30.5999670496105,92.0,30.5999670496105,92.0,30.5999670496105,92.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150509_235200.wav,1569,2015,2a,2015-05-09 23:52:00,0.0,30.454473058219218,119.0,30.454473058219218,119.0,30.454473058219218,119.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150225_220300.wav,1570,2015,2a,2015-02-25 22:03:00,0.0,32.88349494524044,267.5,32.88349494524044,267.5,32.88349494524044,267.5
