,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_005800.wav,88.49528415346342,2014,2a,63.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/3-10-14/20140312_231400.wav,88.14641817712307,2014,1a,93.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-7-14/20140409_213200.wav,87.09702931120195,2014,1a,254.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140615_001300.wav,86.29769366600328,2014,3a,202.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-8-14/20140511_205400.wav,86.1877563302648,2014,3a,215.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-10-14/20140310_211300.wav,86.08725158737217,2014,3a,50.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-21-14/20140424_194200.wav,85.79033778526842,2014,1a,106.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140517_215800.wav,85.10756613108721,2014,3a,58.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/3-10-14/20140311_001300.wav,84.09964284955336,2014,1a,187.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_195800.wav,83.83522404448834,2014,2a,140.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_192400.wav,82.52647703921865,2014,3a,202.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140516_205700.wav,81.01963288040153,2014,2a,265.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_225900.wav,81.00042916180843,2014,2a,216.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140409_233200.wav,80.96363474948664,2014,2a,90.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140324_192200.wav,80.22238877551447,2014,3a,45.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140615_211300.wav,80.07429419839406,2014,3a,203.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_234900.wav,80.05513038928774,2014,2a,146.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_215800.wav,79.75027660648081,2014,2a,62.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140518_215900.wav,79.2109688160453,2014,3a,139.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_224100.wav,79.00016725932933,2014,3a,67.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140613_221300.wav,78.18437160246728,2014,1a,187.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140612_231200.wav,78.02051335270211,2014,3a,154.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-8-14/20140508_225200.wav,77.90501661125981,2014,3a,124.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140515_225700.wav,77.51704815602574,2014,2a,17.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140612_231200.wav,77.0006331799804,2014,1a,239.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_195900.wav,76.93606978773603,2014,2a,36.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140614_231300.wav,76.39992357145454,2014,3a,251.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-7-14/20140409_223200.wav,75.99129837928353,2014,1a,3.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140408_003100.wav,75.79954608538087,2014,2a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140614_221300.wav,75.68733616371642,2014,1a,3.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140502_214800.wav,75.67162621738176,2014,2a,236.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-10-14/20140312_201400.wav,75.61741179090264,2014,3a,238.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-8-14/20140510_005300.wav,75.52325856805466,2014,3a,18.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-8-14/20140509_205300.wav,75.35484816945744,2014,3a,39.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-21-14/20140423_204200.wav,75.34946529867669,2014,1a,112.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-10-14/20140310_231300.wav,75.34039192947132,2014,2a,199.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140517_005700.wav,75.27638506881884,2014,3a,146.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140515_205700.wav,75.14354260701283,2014,2a,184.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140517_195800.wav,75.06640650330571,2014,3a,211.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-10-14/20140310_231300.wav,75.03833264234271,2014,3a,249.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-17-14/20140321_001900.wav,75.00621260112396,2014,3a,131.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-17-14/20140319_001800.wav,74.67799959730023,2014,2a,131.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_214000.wav,74.63076615773207,2014,3a,56.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140410_003200.wav,74.49546344281731,2014,2a,263.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_194200.wav,74.08925279247875,2014,3a,216.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140615_231300.wav,73.73683668963447,2014,3a,120.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140613_211300.wav,73.47158868628394,2014,3a,209.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-21-14/20140422_224100.wav,73.45696945731405,2014,2a,82.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_194100.wav,72.37948038055517,2014,3a,131.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140612_221200.wav,72.32280310413657,2014,3a,233.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/6-12-14/20140615_211300.wav,71.99178972955,2014,2a,221.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-14-14/20140417_203800.wav,71.9531284676551,2014,2a,171.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-24-14/20140324_202200.wav,71.49131105594007,2014,2a,87.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-24-14/20140327_232400.wav,71.45938317897243,2014,2a,71.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140515_225700.wav,71.30085320501108,2014,3a,35.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-2-14/20140603_210800.wav,71.09329977143871,2014,1a,264.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140505_225000.wav,70.82163119555895,2014,2a,88.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_215900.wav,70.61215855621302,2014,2a,175.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140409_213200.wav,70.51137363457211,2014,2a,55.0
