,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150306_211000.wav,99.4735616952675,2015,5a,270.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-5-15/20150307_211000.wav,98.55762931884803,2015,2a,201.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150308_221100.wav,95.77942867211283,2015,5a,293.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150203_204500.wav,94.31659758969303,2015,2a,217.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/6-11-15/20150612_231200.wav,93.5072413123552,2015,3a,36.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-5-15/20150308_221100.wav,91.68423979669349,2015,3a,122.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_220200.wav,91.38434296711652,2015,1a,294.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150315_001500.wav,90.97031345597635,2015,1a,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150512_215400.wav,90.94173778656818,2015,4a,4.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_000100.wav,88.6284739994482,2015,1a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_230200.wav,84.51004915185221,2015,1a,95.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_205700.wav,84.42917400619973,2015,1a,289.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-19-15/20150319_211900.wav,83.47158253661894,2015,5a,9.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150307_221000.wav,83.35219944701518,2015,5a,119.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150205_004600.wav,81.82207634634943,2015,5a,289.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/6-4-15/20150605_220900.wav,81.62336376240368,2015,5a,216.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_210300.wav,81.29493790628581,2015,1a,269.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-5-15/20150307_221000.wav,79.36639751003747,2015,3a,240.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150509_225200.wav,78.91567811184389,2015,4a,191.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/6-4-15/20150604_220900.wav,78.90950531989276,2015,5a,49.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150204_234600.wav,78.67768834887556,2015,2a,51.5
