,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-2-14/20140505_195000.wav,101.71188511010246,2014,10a,42.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140505_004900.wav,101.62140514476869,2014,8a,242.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/3-24-14/20140326_212300.wav,98.72540065273901,2014,8a,282.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-7-14/20140408_233200.wav,93.63524365372062,2014,8a,234.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-15-14/20140517_005700.wav,93.47583394561104,2014,10a,135.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140505_235000.wav,93.44659103155017,2014,8a,252.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-8-14/20140511_235400.wav,92.4840176289106,2014,8a,293.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/3-17-14/20140320_231900.wav,92.28090138540774,2014,9a,185.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/3-24-14/20140324_222200.wav,91.94467165326039,2014,8a,118.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140410_003200.wav,90.52096566196583,2014,9a,219.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/7-7-14/20140707_201500.wav,90.38459556694595,2014,10a,54.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-2-14/20140503_194800.wav,90.32166401152998,2014,10a,286.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140422_004000.wav,90.31926469938732,2014,9a,231.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140411_003300.wav,89.98251869391345,2014,9a,269.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140506_005000.wav,89.87484210418175,2014,8a,20.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-15-14/20140515_225700.wav,89.42227656243116,2014,8a,61.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-8-14/20140510_205300.wav,88.99582040910427,2014,8a,101.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-15-14/20140516_215700.wav,88.51728783209823,2014,8a,16.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140409_203200.wav,87.98416488161817,2014,9a,89.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-2-14/20140504_194900.wav,87.88688119158651,2014,10a,168.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140421_204000.wav,86.7265699816359,2014,9a,246.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-15-14/20140518_235900.wav,86.4245315028312,2014,8a,148.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/3-10-14/20140312_201400.wav,86.25489519431719,2014,8a,229.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140502_224800.wav,85.86747924448845,2014,8a,202.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-21-14/20140422_234100.wav,85.03481386444602,2014,8a,134.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140325_212300.wav,84.57085155499361,2014,10a,119.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-21-14/20140424_004200.wav,84.48586284289199,2014,8a,181.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-2-14/20140505_205000.wav,84.34652164681124,2014,10a,167.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-2-14/20140504_004800.wav,83.43996997469485,2014,10a,93.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140421_194000.wav,83.4028872358609,2014,9a,165.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140424_224200.wav,82.93202751464167,2014,9a,173.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-8-14/20140509_205300.wav,82.39847973980102,2014,10a,277.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140319_211900.wav,82.03476116530078,2014,10a,230.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140503_234800.wav,82.02271011550806,2014,8a,273.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-8-14/20140509_235300.wav,81.3197870104793,2014,8a,136.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140409_233200.wav,81.18206707596285,2014,9a,178.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/4-21-14/20140421_234000.wav,80.94001237971892,2014,10a,54.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140408_003100.wav,80.78356616114215,2014,9a,187.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140423_224200.wav,80.34886353384675,2014,9a,67.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140504_004800.wav,80.00625031888298,2014,8a,165.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140424_194200.wav,79.87712221639117,2014,9a,57.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/7-7-14/20140710_221500.wav,79.84412681755958,2014,9a,255.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-8-14/20140508_235200.wav,79.29712299502718,2014,10a,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-8-14/20140510_235300.wav,79.29679567403765,2014,8a,92.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-8-14/20140511_225400.wav,79.02129763697225,2014,10a,281.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140408_233200.wav,78.94978291725084,2014,9a,135.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/7-17-14/20140717_201200.wav,78.64976698882096,2014,8a,284.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140408_223200.wav,78.01582233374165,2014,9a,141.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140504_224900.wav,77.64659769279261,2014,8a,189.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140327_002300.wav,77.52342230663069,2014,10a,247.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-7-14/20140409_003200.wav,77.47131701746801,2014,8a,274.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-21-14/20140422_204100.wav,77.33200452989865,2014,8a,240.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-7-14/20140410_003200.wav,77.01899460502283,2014,8a,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-8-14/20140510_225300.wav,76.97190129395757,2014,10a,248.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/3-24-14/20140325_222300.wav,76.56442713690555,2014,9a,259.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/5-8-14/20140511_205400.wav,76.53094707619228,2014,10a,114.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/3-17-14/20140320_221900.wav,76.48514208183575,2014,9a,2.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140503_004800.wav,76.48267633082463,2014,8a,210.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-15-14/20140517_005700.wav,76.29424344950857,2014,8a,112.0
