file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_231000.wav,4614,2015,5a,2015-03-06 23:10:00,1.0,216.74934690445727,132.0,302.47357953975313,157.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150204_204600.wav,4609,2015,5a,2015-02-04 20:46:00,1.0,203.3312010771046,155.0,379.8784396379896,10.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150204_004500.wav,4656,2015,5a,2015-02-04 00:45:00,0.0,199.29804464283978,21.5,159.90231961622754,233.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150307_001000.wav,1419,2015,2a,2015-03-07 00:10:00,0.0,197.23680301751128,271.5,252.32333940411667,271.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150225_230300.wav,1092,2015,4a,2015-02-25 23:03:00,0.0,197.1089781489978,2.0,134.23513371952933,287.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150206_004700.wav,2554,2015,10a,2015-02-06 00:47:00,0.0,194.99472290375945,200.0,208.58160234908198,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150224_200200.wav,4965,2015,1a,2015-02-24 20:02:00,0.0,190.65881860907646,66.5,151.58457295280633,188.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_195700.wav,1314,2015,4a,2015-02-17 19:57:00,0.0,185.81347425765793,196.0,295.26865873704526,199.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_204500.wav,4619,2015,5a,2015-02-03 20:45:00,1.0,183.06442068854693,292.0,254.5605809079245,178.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_224400.wav,4630,2015,5a,2015-02-02 22:44:00,0.0,181.1759060010486,102.5,297.0949792098186,232.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150321_221900.wav,2478,2015,10a,2015-03-21 22:19:00,0.0,179.5485578739818,281.0,342.0693525996253,291.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150224_220200.wav,4957,2015,1a,2015-02-24 22:02:00,0.0,177.09936045332,197.0,158.49425869446932,294.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150314_001400.wav,356,2015,7a,2015-03-14 00:14:00,1.0,175.68978093491805,275.0,417.3959033506784,269.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150309_001100.wav,1415,2015,2a,2015-03-09 00:11:00,0.0,169.62108648039813,153.5,126.04526701935723,259.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150224_230200.wav,4959,2015,1a,2015-02-24 23:02:00,0.0,169.56903513393647,165.5,191.10835520008524,233.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150315_191600.wav,1108,2015,4a,2015-03-15 19:16:00,0.0,166.1331757313613,134.5,110.02554089125323,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/6a/20150205_234700.wav,1770,2015,6a,2015-02-05 23:47:00,0.0,166.01063732055692,32.0,123.67414957367484,60.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_001900.wav,315,2015,8a,2015-03-20 00:19:00,0.0,165.54773393480775,237.5,92.2227620042948,265.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150314_231500.wav,355,2015,7a,2015-03-14 23:15:00,1.0,165.34437944886793,102.0,468.52374824187444,286.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_185700.wav,1329,2015,4a,2015-02-17 18:57:00,0.0,162.62364142744119,177.5,156.22499988192206,181.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150206_004700.wav,366,2015,7a,2015-02-06 00:47:00,0.0,161.61595411598788,206.5,139.39909236335845,207.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150315_191600.wav,2509,2015,10a,2015-03-15 19:16:00,0.0,160.51588167874613,194.0,119.7884407600955,278.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150313_231400.wav,1070,2015,4a,2015-03-13 23:14:00,0.0,157.4261295526394,46.0,156.58677546118628,253.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150223_220100.wav,4963,2015,1a,2015-02-23 22:01:00,0.0,153.82124127667566,250.5,175.77141149661608,175.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150223_230100.wav,4962,2015,1a,2015-02-23 23:01:00,0.0,153.47683486446346,14.5,179.35381644391506,14.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150227_000400.wav,1079,2015,4a,2015-02-27 00:04:00,0.0,153.13715262339193,62.5,110.22369825811185,159.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150205_224700.wav,2737,2015,10a,2015-02-05 22:47:00,0.0,152.80845344962015,194.0,199.68576406318928,110.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/6a/20150205_224700.wav,1803,2015,6a,2015-02-05 22:47:00,0.0,152.5901296764178,42.0,105.75752079756454,41.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_190200.wav,1224,2015,4a,2015-02-24 19:02:00,1.0,152.5648329038565,220.5,690.7564348257356,70.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150218_185700.wav,1211,2015,4a,2015-02-18 18:57:00,0.0,150.92579733023226,16.5,177.24210465493047,16.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/6a/20150202_224400.wav,1769,2015,6a,2015-02-02 22:44:00,0.0,150.6915017764608,205.5,68.31607173595566,240.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150226_200400.wav,2247,2015,9a,2015-02-26 20:04:00,0.0,150.44475330933093,75.5,72.82514747301673,132.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150205_224700.wav,519,2015,7a,2015-02-05 22:47:00,0.0,149.9252619100098,176.5,159.33481646488954,5.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150305_230900.wav,4612,2015,5a,2015-03-05 23:09:00,1.0,149.86030316080823,108.5,235.5631950105575,11.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150307_231000.wav,1497,2015,2a,2015-03-07 23:10:00,0.0,148.8992872177222,57.5,135.22655403035486,150.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150203_184500.wav,1416,2015,2a,2015-02-03 18:45:00,1.0,148.23564694372445,213.0,309.0402050573648,213.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150305_190900.wav,4620,2015,5a,2015-03-05 19:09:00,1.0,146.41213078342975,157.5,193.38266746752774,113.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_224700.wav,2445,2015,9a,2015-02-05 22:47:00,0.0,143.60770771882798,111.5,162.37066441687756,80.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150308_001000.wav,1456,2015,2a,2015-03-08 00:10:00,0.0,142.6370539609288,140.5,156.5794340316376,10.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150226_220400.wav,4966,2015,1a,2015-02-26 22:04:00,0.0,141.1076561625523,266.5,157.40783236279864,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150315_001500.wav,1071,2015,4a,2015-03-15 00:15:00,0.0,139.8133781613489,245.5,115.41414978695428,13.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_184400.wav,4776,2015,5a,2015-02-02 18:44:00,0.0,138.85218434232078,61.0,158.4024378477532,49.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_003700.wav,15,2015,8a,2015-04-17 00:37:00,0.0,137.6456746857354,80.0,102.9997855900689,192.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150306_211000.wav,1420,2015,2a,2015-03-06 21:10:00,0.0,136.78647724275007,91.0,135.55308210685956,30.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150308_231100.wav,1422,2015,2a,2015-03-08 23:11:00,0.0,136.6906823660875,184.0,116.90742354328971,295.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150203_004400.wav,2489,2015,10a,2015-02-03 00:44:00,0.0,136.57034510741158,82.5,148.9272503154523,74.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150226_210400.wav,1141,2015,4a,2015-02-26 21:04:00,0.0,134.37985365574937,59.0,111.05495157175956,148.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_214700.wav,2365,2015,9a,2015-02-05 21:47:00,0.0,134.10270289651538,281.0,177.07527310786438,42.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150306_191000.wav,2483,2015,10a,2015-03-06 19:10:00,0.0,133.14713942615165,208.5,163.96660303652138,169.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/6a/20150205_214700.wav,1781,2015,6a,2015-02-05 21:47:00,0.0,132.12677047490646,294.0,81.62991279338131,14.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/6a/20150308_231100.wav,1801,2015,6a,2015-03-08 23:11:00,0.0,131.84804195062472,67.5,169.42241488852807,76.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150226_230400.wav,1087,2015,4a,2015-02-26 23:04:00,0.0,131.66685001250815,267.5,129.7356923479221,297.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150312_231400.wav,1083,2015,4a,2015-03-12 23:14:00,0.0,131.19548648416998,286.0,223.036089007636,286.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150313_221400.wav,1080,2015,4a,2015-03-13 22:14:00,0.0,130.61571754238136,199.5,130.65093212151484,281.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150227_000400.wav,4623,2015,5a,2015-02-27 00:04:00,0.0,130.41019897618392,84.0,114.32516370777162,100.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150225_210300.wav,1221,2015,4a,2015-02-25 21:03:00,0.0,129.27781977479472,106.0,108.2390342296454,298.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150313_201400.wav,1072,2015,4a,2015-03-13 20:14:00,0.0,129.02205651634623,233.0,152.7547659380495,290.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/6a/20150305_190900.wav,1807,2015,6a,2015-03-05 19:09:00,0.0,128.48492389021965,281.5,105.36767085466491,244.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150306_191000.wav,1532,2015,2a,2015-03-06 19:10:00,0.0,127.96429055455913,92.5,181.43168390029217,56.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150204_004500.wav,2514,2015,10a,2015-02-04 00:45:00,0.0,127.37689584894235,202.0,168.1636909185896,203.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150306_231000.wav,1421,2015,2a,2015-03-06 23:10:00,0.0,124.97226608303228,256.0,136.51678486953475,0.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/3a/20150321_202000.wav,810,2015,3a,2015-03-21 20:20:00,0.0,124.25126965526805,47.5,134.23414686439665,47.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_211000.wav,4660,2015,5a,2015-03-06 21:10:00,0.0,124.11142467795177,279.5,173.4086025714165,236.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150205_214700.wav,2617,2015,10a,2015-02-05 21:47:00,0.0,123.31782691746643,104.5,104.06456578093439,125.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150202_224400.wav,2660,2015,10a,2015-02-02 22:44:00,0.0,123.00693434636719,214.5,94.5125450156802,207.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150203_194500.wav,2390,2015,9a,2015-02-03 19:45:00,0.0,121.82774177826181,49.5,163.24729163032603,175.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150308_211100.wav,4915,2015,5a,2015-03-08 21:11:00,0.0,121.39650666190056,242.5,203.39780047541825,242.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150227_000400.wav,373,2015,7a,2015-02-27 00:04:00,0.0,120.63716566291184,212.5,186.35043798916348,135.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150203_234500.wav,2316,2015,9a,2015-02-03 23:45:00,0.0,118.59853622057969,218.0,119.09125178202659,129.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150307_221000.wav,1485,2015,2a,2015-03-07 22:10:00,0.0,117.97399772516455,45.5,158.07020462033233,88.0
