,logger,date_group,score,time_stamp,year,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-21-14/20140423_224200.wav,1a,2014,188.5786756798425,285.0,2014,2014-04-23 22:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_230100.wav,1a,2015,108.07901349339863,85.5,2015,2015-02-23 23:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-21-14/20140423_004100.wav,5a,2014,182.2857708519761,70.0,2014,2014-04-23 00:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_194500.wav,5a,2015,576.513906948298,195.5,2015,2015-02-03 19:45:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/4-21-14/20140424_234200.wav,7a,2014,184.16688196595933,205.0,2014,2014-04-24 23:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_231500.wav,7a,2015,260.0821722931506,286.5,2015,2015-03-14 23:15:00
